"Use naming convention - ""asset name, date of last update (DD/MM/YY), author"". For ex, ""Brochure- Safety at Facebook, 06/11/19, Dessy""",Asset Name,Date,Author,"For multiple countries, list all and separate by comma. (For ex, Indonesia, Philippines, Singapore.) For regional assets, list ""APAC""",One Pager,Report,Case study,Presentation,Presentation templat,Logo/Brand Guidelines,Brochure,Video,Case Study-Video,Case Study - Written,Case Study - Micro business,Case Study - Small business,Case Study - Women entrepreneur,Narrative/ key messaging,Other (type your response),"For multiple languages and sub-titles, list and all and separate by comma. (For ex, Bahasa Indonesia, English, Mandarin)",SheMeans Business,Boost,We Think Digital,Research,Other (type your response),Economic impact,Social impact,Digital citizenship/ Digital skills,Other (type your response),Internal,External,"Permission given?
",,,,
Aulia - Women entrepreneurship,Aulia - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,https://www.dropbox.com/s/qe18puzkr8oczat/%23shemeansbusiness_Ollie%20BahasaIndonesia_Subs%20APR13_1900_h264.mov?dl=0,,,
Anggie - Women entrepreneurship,Anggie - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,,https://shemeansbusiness.fb.com/stories/temui-anggie/,x,https://shemeansbusiness.fb.com/stories/temui-anggie/
Ligwina - Women entrepreneurship,Ligwina - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,,https://shemeansbusiness.fb.com/stories/temui-ligwina/,x,https://shemeansbusiness.fb.com/stories/temui-ligwina/
Nilamsari - Women entrepreneurship,Nilamsari - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,,https://shemeansbusiness.fb.com/stories/temui-nilamsari/,x,https://shemeansbusiness.fb.com/stories/temui-nilamsari/
Dea Valencia - Women entrepreneurship / Job Creation / Social Impact,Dea Valencia - Women entrepreneurship / Job Creation / Social Impact,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,https://drive.google.com/open?id=1u6l4Q_GhgeE1GxZhZTrg4xKD_0aPdpOf,,,
Du'Anyam - Job Creation,Du'Anyam - Job Creation,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,Bahasa Indonesia (sub: EN),TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,https://www.dropbox.com/s/iov2i48mwbomdw0/DU%27ANYAM%20%28VIDEO%201%29.mp4?dl=0,,,
Indah Mutiara Lombok (SMB) - East Indonesia,Indah Mutiara Lombok (SMB) - East Indonesia,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia (sub: EN),TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,https://drive.google.com/drive/folders/1Tt5aQRvJEWPdDx5XjXwY1fIw027fxul_?usp=sharing,,,
Biro Humas dan Protokol NTB (Government) - East Indonesia,Biro Humas dan Protokol NTB (Government) - East Indonesia,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia (sub: EN),FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,https://drive.google.com/drive/folders/1Tt5aQRvJEWPdDx5XjXwY1fIw027fxul_?usp=sharing,,,
Bank Sampah Bintang Sejahtera (Community) - East Indonesia,Bank Sampah Bintang Sejahtera (Community) - East Indonesia,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia (sub: EN),FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,https://drive.google.com/drive/folders/1Tt5aQRvJEWPdDx5XjXwY1fIw027fxul_?usp=sharing,,,
"State of Small Business Vietnam one-pager, 24/07/20, Ruici",State of Small Business Vietnam one-pager,24-07-2020,Ruici,Vietnam,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Vietnamese,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/80xl1w631n6uq4z/Vietnam%20State%20of%20Small%20Business%20Wave%201%20%28VN%29%20-%20Final.pdf?dl=0,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/State-of-Small-Business-Vietnam-one-pager.pdf
Ky Yen Vinh Orange -  Boost with Facebook - 2019 - Chi,Ky Yen Vinh Orange - Boost with Facebook,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/jiep3oubde4thz4/Cam%20Vinh%20K%E1%BB%B3%20Y%E1%BA%BFn_Final.mp4?dl=0 ,,x,https://drive.google.com/file/d/1YXDTeldoJWCZYto3jKhFQWXjzRlv5UhM/view?usp=sharing
Mimi Organic JSC -  #SheMB - 2019 - Chi,Mimi Organic JSC - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/ppfxakmawb59wjz/Gia%20%C4%91%C3%ACnh%20Mimi_SubEng.mp4?dl=0,,x,https://drive.google.com/file/d/1u5qtDWNue91sgcYmZAdCTAKHmdDw6Q1c/view?usp=sharing
LC Home Pottery -  Boost with Facebook - 2019 - Chi,LC Home Pottery - Boost with Facebook,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/q71gxt0qfxoia0e/LC%20Home-Sub-Final.mp4?dl=0,,x,https://drive.google.com/file/d/1EH_Ilf1qzB3_0BON0eSYveq2qYQ8PsIb/view?usp=sharing
Gia Trinh Bakery -  #SheMB - 2019 - Chi,Gia Trinh Bakery - #SheMB,01-01-2019,Chi,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,Vietnamese,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,https://www.dropbox.com/s/74fn84grgm8q5ra/Final_GiaTrinh.mp4?dl=0,,x,https://drive.google.com/file/d/1Ho1_JfULknJaU8AVhQbRwf7p_V7IhY8A/view?usp=sharing
